ID;SiteID;LInk;Contact;Type
246;2;www.enter.ru;feedback@enter.ru;email
247;2;www.enter.ru;purchase@enter.ru;email
248;2;www.enter.ru;arenda@enter.ru;email
249;2;www.enter.ru;reklama@enter.ru;email
250;2;www.enter.ru;podbor@enter.ru;email
252;2;www.enter.ru;+7 (495) 775-00-06;phone
253;2;www.enter.ru;+7 495 775 91 75;phone
254;2;www.enter.ru;8 800 700 00 09;phone
255;3;wikimart.ru;info@wikimart.ru;email
256;3;wikimart.ru;8-800-333-92-16;phone
257;10;moscow.shop.megafon.ru;8 (800) 550 5858;phone
258;6;www.quelle.ru;welcome@quelle.ru;email
260;4;www.ozon.ru;8 800 234-60-06;phone
263;5;www.letu.ru;8-800-200-23-45;phone
264;7;www.tehnosila.ru;8 495 775 21 00;phone
265;7;www.tehnosila.ru;8 800 775 21 00;phone
266;8;www.mvideo.ru;24@mvideo.ru;email
267;8;www.mvideo.ru;job@mvideo.ru;email
268;8;www.mvideo.ru;uliya.Zotova@mvideo.ru;email
269;8;www.mvideo.ru;lga.Kobzareva@mvideo.ru;email
270;8;www.mvideo.ru;corporate@mvideo.ru;email
271;8;www.mvideo.ru;zakupki@mvideo.ru;email
272;8;www.mvideo.ru;adv@mvideo.ru;email
273;8;www.mvideo.ru;expansion@mvideo.ru;email
274;8;www.mvideo.ru;italiy.Markunskiy@mvideo.ru;email
275;8;www.mvideo.ru;olga.bayutina@mvideo.ru;email
276;8;www.mvideo.ru;ir@mvideo.ru;email
277;8;www.mvideo.ru;8-800-200-23-11;phone
278;8;www.mvideo.ru;8 495 644-28-48;phone
279;8;www.mvideo.ru;+7 (495) 644-28-48;phone
282;12;www.shop.mts.ru;mail@shop.mts.ru;email
283;12;www.shop.mts.ru;8 (800) 250 05 05;phone
284;11;www.bgshop.ru;web.logist@bgshop.ru;email
285;11;www.bgshop.ru;+7 (495) 781-19-12;phone
286;11;www.bgshop.ru;+7 (495) 781-19-00;phone
288;15;www.eldorado.ru;8 800 555-11-11;phone
289;15;www.eldorado.ru;8 800 555 11 11;phone
290;22;www.befree.ru;8-800-250-01-02;phone
293;19;shop.huawei.ru;support@huawei.ru;email
294;19;shop.huawei.ru;mobile.ru@huawei.com;email
295;19;shop.huawei.ru;suppo22222@webim.ru;email
297;19;shop.huawei.ru;8 800 7001677;phone
298;19;shop.huawei.ru;8 800 7001606;phone
299;19;shop.huawei.ru;+7 812 3855337;phone
300;18;www.dns-shop.ru;8-499-704-46-40;phone
301;21;www.labirint.ru;+7 495 745-95-25;phone
302;17;www.bonprix.ru;info@bonprix.ru;email
303;17;www.bonprix.ru;info@bonprix.com;email
304;19;shop.huawei.ru;8 (800) 7001606;phone
305;23;shop.lenovo.ru;8-800-301-74-07;phone
306;23;shop.lenovo.ru;8-800-301-7407;phone
308;33;www.detmir.ru;8 (800) 250-00-00;phone
309;24;www.lamoda.ru;claims@lamoda.ru;email
310;24;www.lamoda.ru;help@lamoda.ru;email
311;24;www.lamoda.ru;8 800 333-23-59;phone
312;24;www.lamoda.ru;+7 (499) 750-14-50;phone
313;24;www.lamoda.ru;+7 (812) 389-20-10;phone
314;24;www.lamoda.ru;+7 (343) 226-06-10;phone
315;24;www.lamoda.ru;+7 (831) 261-30-11;phone
316;24;www.lamoda.ru;+7 (383) 207-98-97;phone
317;24;www.lamoda.ru;+7 (863) 209-89-21;phone
318;24;www.lamoda.ru;+7 (846) 229-55-15;phone
319;27;ru.wix.com;wixofday@wix.com;email
320;25;www.1c-bitrix.ru;info@1c-bitrix.ru;email
321;25;www.1c-bitrix.ru;sales@1c-bitrix.ru;email
322;25;www.1c-bitrix.ru;marketing@1c-bitrix.ru;email
323;25;www.1c-bitrix.ru;partners@1c-bitrix.ru;email
324;25;www.1c-bitrix.ru;ukraine@1c-bitrix.ru;email
325;25;www.1c-bitrix.ru;8-800-250-1860;phone
326;25;www.1c-bitrix.ru;8-800-250-18-60;phone
327;25;www.1c-bitrix.ru;+7 (495) 229-14-41;phone
328;28;www.dochkisinochki.ru;8 495 660-72-01;phone
329;28;www.dochkisinochki.ru;+7 (495) 660-72-01;phone
330;31;www.svyaznoy.ru;8 (800) 700 43 43;phone
331;31;www.svyaznoy.ru;8 (800) 700 50 00;phone
332;31;www.svyaznoy.ru;8 (800) 700 99 22;phone
333;29;www.phpshop.ru;8-800-700-11-15;phone
334;29;www.phpshop.ru;+7 (495) 989-11-15;phone
335;29;www.phpshop.ru;+7-495-989-11-15;phone
336;121;www.toy.ru;info@toy.ru;email
337;121;www.toy.ru;8(495) 215-22-44;phone
338;121;www.toy.ru;8 (800) 500-23-70;phone
339;121;www.toy.ru;8(800) 500-23-70;phone
340;106;www.220-volt.ru;+7 (495) 745-50-55;phone
341;56;www.chitai-gorod.ru;8354-8962605;phone
342;75;open-style.ru;office@open-style.ru;email
343;75;open-style.ru;radchenko_olesyav@mail.ru;email
344;75;open-style.ru;8-913-066-8245;phone
345;75;open-style.ru;8-929-327-39-01;phone
346;75;open-style.ru;8-913-066-82-45;phone
347;113;www.fabricasaitov.ru;8 (800) 333 45 11;phone
348;74;www.insales.ru;sales@insales.ru;email
349;74;www.insales.ru;support@insales.ru;email
350;74;www.insales.ru;+7 (495) 649 83 14;phone
351;74;www.insales.ru;8 800 555 10 61;phone
352;98;ru.jimdo.com;support@jimdo.com;email
353;98;ru.jimdo.com;press@jimdo.ru;email
354;98;ru.jimdo.com;8-800-100-9693;phone
356;104;baon.ru;+7 (495) 150-11-05;phone
357;104;baon.ru;+7 (495) 637-87-07;phone
